Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
SchwarzeLocke4,DE,1651,427,85.10.196.12,caladan.dena-design.de,53,80,0,0,1,1,0,1,1,1,1,Tor 0.3.3.9 on Linux,0,0,2013-08-18,HETZNER-AS- DE,24940,5420,[2a01:4f8:a0:6128::2]:53
0ZQIX7g6,RU,1649,1240,77.37.142.179,broadband-77-37-142-179.ip.moscow.rt.ru,9749,None,0,0,1,1,0,1,1,1,1,Tor 0.3.3.7 on Linux,0,0,2016-05-22,NCNET-AS- RU,42610,4040,None
M5,US,1649,303,71.19.144.184,kent-dobias.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.3.9 on Linux,0,0,2016-11-11,PRGMR - prgmr.com- Inc.- US,47066,6520,[2605:2700:0:2::4713:90b8]:9001
torpidsDEhetzner2,DE,1647,12,94.130.183.13,static.13.183.130.94.clients.your-server.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-01-26,HETZNER-AS- DE,24940,17700,[2a01:4f8:1c0c:4312::1]:443
sennovakatido,NO,1642,328,80.212.163.253,ti0004a400-3315.bb.online.no,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-05,TELENOR-NEXTEL Telenor Norge AS- NO,2119,9570,None
UbuntuCore242,US,1641,151,108.46.49.199,pool-108-46-49-199.nycmny.fios.verizon.net,39833,None,0,0,1,0,0,0,1,1,1,Tor 0.3.2.12 on Linux,0,0,2018-07-22,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,6530,None
darknode,US,1640,165,104.248.140.212,104.248.140.212,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-09-20,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,13800,None
skwidchipv3,GB,1640,4607,91.186.8.150,vmz.krados.be,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2018-02-11,SIMPLYTRANSIT- GB,29550,2230,None
Trumper,DE,1640,91,87.147.187.176,p5793BBB0.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.3.4.8 on Windows 8,0,0,2017-12-09,DTAG Internet service provider operations- DE,3320,8350,None
esambayev,NL,1639,99,46.21.147.136,136.147.21.46.in-addr.arpa,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.3.10 on Linux,0,0,2018-02-05,SWIFTWAY-AS Netherlands- GB,35017,4010,None
Arisia,CA,1637,1667,66.222.153.25,d66-222-153-25.abhsia.telus.net,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.15 on Linux,0,0,2018-03-08,ASN852 - TELUS Communications Inc.- CA,852,5630,None
tomhekker1,NL,1633,89,80.127.105.125,torrelay1.tomhek.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2018-08-11,XS4ALL-NL Amsterdam- NL,3265,10200,None
